dexNum,name,baseName,slug,type1,type2,evolvesFromName,evolvesFromDexNum,evolvesFromCondition,evolvesTo
349,Feebas,Feebas,feebas,Water,,,,,"Milotic (trade holding Prism Scale, or level up with max Beauty)"
350,Milotic,Milotic,milotic,Water,,Feebas,349,"trade holding Prism Scale, or level up with max Beauty",
353,Shuppet,Shuppet,shuppet,Ghost,,,,,Banette (Level 37)
354,Banette,Banette,banette,Ghost,,Shuppet,353,Level 37,
355,Duskull,Duskull,duskull,Ghost,,,,,Dusclops (Level 37)
356,Dusclops,Dusclops,dusclops,Ghost,,Duskull,355,Level 37,Dusknoir (trade holding Reaper Cloth)
358,Chimecho,Chimecho,chimecho,Psychic,,Chingling,433,"high Friendship, Nighttime",
360,Wynaut,Wynaut,wynaut,Psychic,,,,,Wobbuffet (Level 15)
361,Snorunt,Snorunt,snorunt,Ice,,,,,"Glalie (Level 42); Froslass (use Dawn Stone, Female)"
362,Glalie,Glalie,glalie,Ice,,Snorunt,361,Level 42,
363,Spheal,Spheal,spheal,Ice,Water,,,,Sealeo (Level 32)
364,Sealeo,Sealeo,sealeo,Ice,Water,Spheal,363,Level 32,Walrein (Level 44)
365,Walrein,Walrein,walrein,Ice,Water,Sealeo,364,Level 44,
366,Clamperl,Clamperl,clamperl,Water,,,,,Huntail (trade holding Deep Sea Tooth); Gorebyss (trade holding Deep Sea Scale)
367,Huntail,Huntail,huntail,Water,,Clamperl,366,trade holding Deep Sea Tooth,
368,Gorebyss,Gorebyss,gorebyss,Water,,Clamperl,366,trade holding Deep Sea Scale,
371,Bagon,Bagon,bagon,Dragon,,,,,Shelgon (Level 30)
372,Shelgon,Shelgon,shelgon,Dragon,,Bagon,371,Level 30,Salamence (Level 50)
373,Salamence,Salamence,salamence,Dragon,Flying,Shelgon,372,Level 50,
374,Beldum,Beldum,beldum,Steel,Psychic,,,,Metang (Level 20)
375,Metang,Metang,metang,Steel,Psychic,Beldum,374,Level 20,Metagross (Level 45)
376,Metagross,Metagross,metagross,Steel,Psychic,Metang,375,Level 45,
387,Turtwig,Turtwig,turtwig,Grass,,,,,Grotle (Level 18)
388,Grotle,Grotle,grotle,Grass,,Turtwig,387,Level 18,Torterra (Level 32)
389,Torterra,Torterra,torterra,Grass,Ground,Grotle,388,Level 32,
390,Chimchar,Chimchar,chimchar,Fire,,,,,Monferno (Level 14)
391,Monferno,Monferno,monferno,Fire,Fighting,Chimchar,390,Level 14,Infernape (Level 36)
392,Infernape,Infernape,infernape,Fire,Fighting,Monferno,391,Level 36,
393,Piplup,Piplup,piplup,Water,,,,,Prinplup (Level 16)
394,Prinplup,Prinplup,prinplup,Water,,Piplup,393,Level 16,Empoleon (Level 36)
395,Empoleon,Empoleon,empoleon,Water,Steel,Prinplup,394,Level 36,
396,Starly,Starly,starly,Normal,Flying,,,,Staravia (Level 14)
397,Staravia,Staravia,staravia,Normal,Flying,Starly,396,Level 14,Staraptor (Level 34)
398,Staraptor,Staraptor,staraptor,Normal,Flying,Staravia,397,Level 34,
399,Bidoof,Bidoof,bidoof,Normal,,,,,Bibarel (Level 15)
400,Bibarel,Bibarel,bibarel,Normal,Water,Bidoof,399,Level 15,
401,Kricketot,Kricketot,kricketot,Bug,,,,,Kricketune (Level 10)
402,Kricketune,Kricketune,kricketune,Bug,,Kricketot,401,Level 10,
403,Shinx,Shinx,shinx,Electric,,,,,Luxio (Level 15)
404,Luxio,Luxio,luxio,Electric,,Shinx,403,Level 15,Luxray (Level 30)
405,Luxray,Luxray,luxray,Electric,,Luxio,404,Level 30,
406,Budew,Budew,budew,Grass,Poison,,,,"Roselia (high Friendship, Daytime)"
407,Roserade,Roserade,roserade,Grass,Poison,Roselia,315,use Shiny Stone,
408,Cranidos,Cranidos,cranidos,Rock,,,,,Rampardos (Level 30)
409,Rampardos,Rampardos,rampardos,Rock,,Cranidos,408,Level 30,
410,Shieldon,Shieldon,shieldon,Rock,Steel,,,,Bastiodon (Level 30)
411,Bastiodon,Bastiodon,bastiodon,Rock,Steel,Shieldon,410,Level 30,
412,Burmy (Plant Cloak),Burmy,burmy,Bug,,,,,"Mothim (Level 20, Male)"
414,Mothim,Mothim,mothim,Bug,Flying,Burmy (Plant Cloak),412,"Level 20, Male",
415,Combee,Combee,combee,Bug,Flying,,,,"Vespiquen (Level 21, Female)"
416,Vespiquen,Vespiquen,vespiquen,Bug,Flying,Combee,415,"Level 21, Female",
418,Buizel,Buizel,buizel,Water,,,,,Floatzel (Level 26)
419,Floatzel,Floatzel,floatzel,Water,,Buizel,418,Level 26,
420,Cherubi,Cherubi,cherubi,Grass,,,,,Cherrim (Level 25)
421,Cherrim,Cherrim,cherrim,Grass,,Cherubi,420,Level 25,
422,Shellos,Shellos,shellos,Water,,,,,Gastrodon (Level 30)
423,Gastrodon,Gastrodon,gastrodon,Water,Ground,Shellos,422,Level 30,
424,Ambipom,Ambipom,ambipom,Normal,,Aipom,190,after Double Hit learned,
425,Drifloon,Drifloon,drifloon,Ghost,Flying,,,,Drifblim (Level 28)
426,Drifblim,Drifblim,drifblim,Ghost,Flying,Drifloon,425,Level 28,
427,Buneary,Buneary,buneary,Normal,,,,,Lopunny (high Friendship)
428,Lopunny,Lopunny,lopunny,Normal,,Buneary,427,high Friendship,
429,Mismagius,Mismagius,mismagius,Ghost,,Misdreavus,200,use Dusk Stone,
430,Honchkrow,Honchkrow,honchkrow,Dark,Flying,Murkrow,198,use Dusk Stone,
431,Glameow,Glameow,glameow,Normal,,,,,Purugly (Level 38)
432,Purugly,Purugly,purugly,Normal,,Glameow,431,Level 38,
433,Chingling,Chingling,chingling,Psychic,,,,,"Chimecho (high Friendship, Nighttime)"
434,Stunky,Stunky,stunky,Poison,Dark,,,,Skuntank (Level 34)
435,Skuntank,Skuntank,skuntank,Poison,Dark,Stunky,434,Level 34,
436,Bronzor,Bronzor,bronzor,Steel,Psychic,,,,Bronzong (Level 33)
437,Bronzong,Bronzong,bronzong,Steel,Psychic,Bronzor,436,Level 33,
438,Bonsly,Bonsly,bonsly,Rock,,,,,Sudowoodo (after Mimic learned)
439,Mime Jr.,Mime Jr.,mime-jr,Psychic,Fairy,,,,"Mr. Mime (after Mimic learned, outside Galar); Galarian Mr. Mime (after Mimic learned, in Galar)"
440,Happiny,Happiny,happiny,Normal,,,,,"Chansey (hold Oval Stone, Daytime)"
443,Gible,Gible,gible,Dragon,Ground,,,,Gabite (Level 24)
444,Gabite,Gabite,gabite,Dragon,Ground,Gible,443,Level 24,Garchomp (Level 48)
445,Garchomp,Garchomp,garchomp,Dragon,Ground,Gabite,444,Level 48,
446,Munchlax,Munchlax,munchlax,Normal,,,,,Snorlax (high Friendship)
447,Riolu,Riolu,riolu,Fighting,,,,,"Lucario (high Friendship, Daytime)"
448,Lucario,Lucario,lucario,Fighting,Steel,Riolu,447,"high Friendship, Daytime",
449,Hippopotas,Hippopotas,hippopotas,Ground,,,,,Hippowdon (Level 34)
450,Hippowdon,Hippowdon,hippowdon,Ground,,Hippopotas,449,Level 34,
451,Skorupi,Skorupi,skorupi,Poison,Bug,,,,Drapion (Level 40)
452,Drapion,Drapion,drapion,Poison,Dark,Skorupi,451,Level 40,
453,Croagunk,Croagunk,croagunk,Poison,Fighting,,,,Toxicroak (Level 37)
454,Toxicroak,Toxicroak,toxicroak,Poison,Fighting,Croagunk,453,Level 37,
456,Finneon,Finneon,finneon,Water,,,,,Lumineon (Level 31)
457,Lumineon,Lumineon,lumineon,Water,,Finneon,456,Level 31,
458,Mantyke,Mantyke,mantyke,Water,Flying,,,,Mantine (with Remoraid in party)
459,Snover,Snover,snover,Grass,Ice,,,,Abomasnow (Level 40)
460,Abomasnow,Abomasnow,abomasnow,Grass,Ice,Snover,459,Level 40,
461,Weavile,Weavile,weavile,Dark,Ice,Sneasel,215,"hold Razor Claw, Nighttime",
462,Magnezone,Magnezone,magnezone,Electric,Steel,Magneton,82,"use Thunder Stone, in Gen 8+, or level up in a Magnetic Field area",
463,Lickilicky,Lickilicky,lickilicky,Normal,,Lickitung,108,after Rollout learned,
464,Rhyperior,Rhyperior,rhyperior,Ground,Rock,Rhydon,112,trade holding Protector,
465,Tangrowth,Tangrowth,tangrowth,Grass,,Tangela,114,after Ancient Power learned,
466,Electivire,Electivire,electivire,Electric,,Electabuzz,125,trade holding Electirizer,
467,Magmortar,Magmortar,magmortar,Fire,,Magmar,126,trade holding Magmarizer,
468,Togekiss,Togekiss,togekiss,Fairy,Flying,Togetic,176,use Shiny Stone,
469,Yanmega,Yanmega,yanmega,Bug,Flying,Yanma,193,after Ancient Power learned,
472,Gliscor,Gliscor,gliscor,Ground,Flying,Gligar,207,"hold Razor Fang, Nighttime",
473,Mamoswine,Mamoswine,mamoswine,Ice,Ground,Piloswine,221,after Ancient Power learned,
474,Porygon-Z,Porygon-Z,porygon-z,Normal,,Porygon2,233,trade holding Dubious Disc,
475,Gallade,Gallade,gallade,Psychic,Fighting,Kirlia,281,"use Dawn Stone, Male",
476,Probopass,Probopass,probopass,Rock,Steel,Nosepass,299,"use Thunder Stone, in Gen 8+, or level up in a Magnetic Field area",
477,Dusknoir,Dusknoir,dusknoir,Ghost,,Dusclops,356,trade holding Reaper Cloth,
478,Froslass,Froslass,froslass,Ice,Ghost,Snorunt,361,"use Dawn Stone, Female",
495,Snivy,Snivy,snivy,Grass,,,,,Servine (Level 17)
496,Servine,Servine,servine,Grass,,Snivy,495,Level 17,Serperior (Level 36)
497,Serperior,Serperior,serperior,Grass,,Servine,496,Level 36,
498,Tepig,Tepig,tepig,Fire,,,,,Pignite (Level 17)
499,Pignite,Pignite,pignite,Fire,Fighting,Tepig,498,Level 17,Emboar (Level 36)
500,Emboar,Emboar,emboar,Fire,Fighting,Pignite,499,Level 36,
501,Oshawott,Oshawott,oshawott,Water,,,,,Dewott (Level 17)
502,Dewott,Dewott,dewott,Water,,Oshawott,501,Level 17,"Samurott (Level 36); Hisuian Samurott (Level 36, in Legends: Arceus)"
503,Hisuian Samurott,Samurott,samurott,Water,Dark,Dewott,502,"Level 36, in Legends: Arceus",
503,Samurott,Samurott,samurott,Water,,Dewott,502,Level 36,
504,Patrat,Patrat,patrat,Normal,,,,,Watchog (Level 20)
505,Watchog,Watchog,watchog,Normal,,Patrat,504,Level 20,
506,Lillipup,Lillipup,lillipup,Normal,,,,,Herdier (Level 16)
507,Herdier,Herdier,herdier,Normal,,Lillipup,506,Level 16,Stoutland (Level 32)
508,Stoutland,Stoutland,stoutland,Normal,,Herdier,507,Level 32,
509,Purrloin,Purrloin,purrloin,Dark,,,,,Liepard (Level 20)
510,Liepard,Liepard,liepard,Dark,,Purrloin,509,Level 20,
511,Pansage,Pansage,pansage,Grass,,,,,Simisage (use Leaf Stone)
512,Simisage,Simisage,simisage,Grass,,Pansage,511,use Leaf Stone,
513,Pansear,Pansear,pansear,Fire,,,,,Simisear (use Fire Stone)
514,Simisear,Simisear,simisear,Fire,,Pansear,513,use Fire Stone,
515,Panpour,Panpour,panpour,Water,,,,,Simipour (use Water Stone)
516,Simipour,Simipour,simipour,Water,,Panpour,515,use Water Stone,
517,Munna,Munna,munna,Psychic,,,,,Musharna (use Moon Stone)
518,Musharna,Musharna,musharna,Psychic,,Munna,517,use Moon Stone,
519,Pidove,Pidove,pidove,Normal,Flying,,,,Tranquill (Level 21)
520,Tranquill,Tranquill,tranquill,Normal,Flying,Pidove,519,Level 21,Unfezant (Level 32)
521,Unfezant,Unfezant,unfezant,Normal,Flying,Tranquill,520,Level 32,
522,Blitzle,Blitzle,blitzle,Electric,,,,,Zebstrika (Level 27)
523,Zebstrika,Zebstrika,zebstrika,Electric,,Blitzle,522,Level 27,
524,Roggenrola,Roggenrola,roggenrola,Rock,,,,,Boldore (Level 25)
525,Boldore,Boldore,boldore,Rock,,Roggenrola,524,Level 25,Gigalith (Trade)
526,Gigalith,Gigalith,gigalith,Rock,,Boldore,525,Trade,
527,Woobat,Woobat,woobat,Psychic,Flying,,,,Swoobat (high Friendship)
528,Swoobat,Swoobat,swoobat,Psychic,Flying,Woobat,527,high Friendship,
529,Drilbur,Drilbur,drilbur,Ground,,,,,Excadrill (Level 31)
530,Excadrill,Excadrill,excadrill,Ground,Steel,Drilbur,529,Level 31,
532,Timburr,Timburr,timburr,Fighting,,,,,Gurdurr (Level 25)
533,Gurdurr,Gurdurr,gurdurr,Fighting,,Timburr,532,Level 25,Conkeldurr (Trade)
534,Conkeldurr,Conkeldurr,conkeldurr,Fighting,,Gurdurr,533,Trade,
535,Tympole,Tympole,tympole,Water,,,,,Palpitoad (Level 25)
536,Palpitoad,Palpitoad,palpitoad,Water,Ground,Tympole,535,Level 25,Seismitoad (Level 36)
537,Seismitoad,Seismitoad,seismitoad,Water,Ground,Palpitoad,536,Level 36,
540,Sewaddle,Sewaddle,sewaddle,Bug,Grass,,,,Swadloon (Level 20)
541,Swadloon,Swadloon,swadloon,Bug,Grass,Sewaddle,540,Level 20,Leavanny (high Friendship)
542,Leavanny,Leavanny,leavanny,Bug,Grass,Swadloon,541,high Friendship,
543,Venipede,Venipede,venipede,Bug,Poison,,,,Whirlipede (Level 22)
544,Whirlipede,Whirlipede,whirlipede,Bug,Poison,Venipede,543,Level 22,Scolipede (Level 30)
545,Scolipede,Scolipede,scolipede,Bug,Poison,Whirlipede,544,Level 30,
546,Cottonee,Cottonee,cottonee,Grass,Fairy,,,,Whimsicott (use Sun Stone)
547,Whimsicott,Whimsicott,whimsicott,Grass,Fairy,Cottonee,546,use Sun Stone,
548,Petilil,Petilil,petilil,Grass,,,,,"Lilligant (use Sun Stone); Hisuian Lilligant (use Sun Stone, in Legends: Arceus)"
549,Hisuian Lilligant,Lilligant,lilligant,Grass,Fighting,Petilil,548,"use Sun Stone, in Legends: Arceus",
549,Lilligant,Lilligant,lilligant,Grass,,Petilil,548,use Sun Stone,
550,Basculin (White-Striped Form),Basculin,basculin,Water,,,,,"Basculegion (Male) (Male, receive 294 recoil damage in battle); Basculegion (Female) (Female, receive 294 recoil damage in battle)"
551,Sandile,Sandile,sandile,Ground,Dark,,,,Krokorok (Level 29)
552,Krokorok,Krokorok,krokorok,Ground,Dark,Sandile,551,Level 29,Krookodile (Level 40)
553,Krookodile,Krookodile,krookodile,Ground,Dark,Krokorok,552,Level 40,
554,Darumaka,Darumaka,darumaka,Fire,,,,,Darmanitan (Standard Mode) (Level 35)
555,Darmanitan (Standard Mode),Darmanitan,darmanitan,Fire,,Darumaka,554,Level 35,
557,Dwebble,Dwebble,dwebble,Bug,Rock,,,,Crustle (Level 34)
558,Crustle,Crustle,crustle,Bug,Rock,Dwebble,557,Level 34,
559,Scraggy,Scraggy,scraggy,Dark,Fighting,,,,Scrafty (Level 39)
560,Scrafty,Scrafty,scrafty,Dark,Fighting,Scraggy,559,Level 39,
562,Yamask,Yamask,yamask,Ghost,,,,,Cofagrigus (Level 34)
563,Cofagrigus,Cofagrigus,cofagrigus,Ghost,,Yamask,562,Level 34,
564,Tirtouga,Tirtouga,tirtouga,Water,Rock,,,,Carracosta (Level 37)
565,Carracosta,Carracosta,carracosta,Water,Rock,Tirtouga,564,Level 37,
566,Archen,Archen,archen,Rock,Flying,,,,Archeops (Level 37)
567,Archeops,Archeops,archeops,Rock,Flying,Archen,566,Level 37,
568,Trubbish,Trubbish,trubbish,Poison,,,,,Garbodor (Level 36)
569,Garbodor,Garbodor,garbodor,Poison,,Trubbish,568,Level 36,
570,Zorua,Zorua,zorua,Dark,,,,,Zoroark (Level 30)
571,Zoroark,Zoroark,zoroark,Dark,,Zorua,570,Level 30,
572,Minccino,Minccino,minccino,Normal,,,,,Cinccino (use Shiny Stone)
573,Cinccino,Cinccino,cinccino,Normal,,Minccino,572,use Shiny Stone,
574,Gothita,Gothita,gothita,Psychic,,,,,Gothorita (Level 32)
575,Gothorita,Gothorita,gothorita,Psychic,,Gothita,574,Level 32,Gothitelle (Level 41)
576,Gothitelle,Gothitelle,gothitelle,Psychic,,Gothorita,575,Level 41,
577,Solosis,Solosis,solosis,Psychic,,,,,Duosion (Level 32)
578,Duosion,Duosion,duosion,Psychic,,Solosis,577,Level 32,Reuniclus (Level 41)
579,Reuniclus,Reuniclus,reuniclus,Psychic,,Duosion,578,Level 41,
580,Ducklett,Ducklett,ducklett,Water,Flying,,,,Swanna (Level 35)
581,Swanna,Swanna,swanna,Water,Flying,Ducklett,580,Level 35,
582,Vanillite,Vanillite,vanillite,Ice,,,,,Vanillish (Level 35)
583,Vanillish,Vanillish,vanillish,Ice,,Vanillite,582,Level 35,Vanilluxe (Level 47)
584,Vanilluxe,Vanilluxe,vanilluxe,Ice,,Vanillish,583,Level 47,
585,Deerling,Deerling,deerling,Normal,Grass,,,,Sawsbuck (Level 34)
586,Sawsbuck,Sawsbuck,sawsbuck,Normal,Grass,Deerling,585,Level 34,
588,Karrablast,Karrablast,karrablast,Bug,,,,,Escavalier (Trade with Shelmet)
589,Escavalier,Escavalier,escavalier,Bug,Steel,Karrablast,588,Trade with Shelmet,
590,Foongus,Foongus,foongus,Grass,Poison,,,,Amoonguss (Level 39)
591,Amoonguss,Amoonguss,amoonguss,Grass,Poison,Foongus,590,Level 39,
592,Frillish,Frillish,frillish,Water,Ghost,,,,Jellicent (Level 40)
593,Jellicent,Jellicent,jellicent,Water,Ghost,Frillish,592,Level 40,
595,Joltik,Joltik,joltik,Bug,Electric,,,,Galvantula (Level 36)
596,Galvantula,Galvantula,galvantula,Bug,Electric,Joltik,595,Level 36,
597,Ferroseed,Ferroseed,ferroseed,Grass,Steel,,,,Ferrothorn (Level 40)
598,Ferrothorn,Ferrothorn,ferrothorn,Grass,Steel,Ferroseed,597,Level 40,
599,Klink,Klink,klink,Steel,,,,,Klang (Level 38)
600,Klang,Klang,klang,Steel,,Klink,599,Level 38,Klinklang (Level 49)
601,Klinklang,Klinklang,klinklang,Steel,,Klang,600,Level 49,
602,Tynamo,Tynamo,tynamo,Electric,,,,,Eelektrik (Level 39)
603,Eelektrik,Eelektrik,eelektrik,Electric,,Tynamo,602,Level 39,Eelektross (use Thunder Stone)
604,Eelektross,Eelektross,eelektross,Electric,,Eelektrik,603,use Thunder Stone,
605,Elgyem,Elgyem,elgyem,Psychic,,,,,Beheeyem (Level 42)
606,Beheeyem,Beheeyem,beheeyem,Psychic,,Elgyem,605,Level 42,
607,Litwick,Litwick,litwick,Ghost,Fire,,,,Lampent (Level 41)
608,Lampent,Lampent,lampent,Ghost,Fire,Litwick,607,Level 41,Chandelure (use Dusk Stone)
609,Chandelure,Chandelure,chandelure,Ghost,Fire,Lampent,608,use Dusk Stone,
610,Axew,Axew,axew,Dragon,,,,,Fraxure (Level 38)
611,Fraxure,Fraxure,fraxure,Dragon,,Axew,610,Level 38,Haxorus (Level 48)
612,Haxorus,Haxorus,haxorus,Dragon,,Fraxure,611,Level 48,
613,Cubchoo,Cubchoo,cubchoo,Ice,,,,,Beartic (Level 37)
614,Beartic,Beartic,beartic,Ice,,Cubchoo,613,Level 37,
616,Shelmet,Shelmet,shelmet,Bug,,,,,Accelgor (Trade with Karrablast)
617,Accelgor,Accelgor,accelgor,Bug,,Shelmet,616,Trade with Karrablast,
619,Mienfoo,Mienfoo,mienfoo,Fighting,,,,,Mienshao (Level 50)
620,Mienshao,Mienshao,mienshao,Fighting,,Mienfoo,619,Level 50,
622,Golett,Golett,golett,Ground,Ghost,,,,Golurk (Level 43)
623,Golurk,Golurk,golurk,Ground,Ghost,Golett,622,Level 43,
624,Pawniard,Pawniard,pawniard,Dark,Steel,,,,Bisharp (Level 52)
625,Bisharp,Bisharp,bisharp,Dark,Steel,Pawniard,624,Level 52,Kingambit (defeat 3 Bisharp that are holding Leader's Crest)
627,Rufflet,Rufflet,rufflet,Normal,Flying,,,,"Braviary (Level 54); Hisuian Braviary (Level 54, in Legends: Arceus)"
628,Braviary,Braviary,braviary,Normal,Flying,Rufflet,627,Level 54,
628,Hisuian Braviary,Braviary,braviary,Psychic,Flying,Rufflet,627,"Level 54, in Legends: Arceus",
629,Vullaby,Vullaby,vullaby,Dark,Flying,,,,Mandibuzz (Level 54)
630,Mandibuzz,Mandibuzz,mandibuzz,Dark,Flying,Vullaby,629,Level 54,
633,Deino,Deino,deino,Dark,Dragon,,,,Zweilous (Level 50)
634,Zweilous,Zweilous,zweilous,Dark,Dragon,Deino,633,Level 50,Hydreigon (Level 64)
635,Hydreigon,Hydreigon,hydreigon,Dark,Dragon,Zweilous,634,Level 64,
636,Larvesta,Larvesta,larvesta,Bug,Fire,,,,Volcarona (Level 59)
637,Volcarona,Volcarona,volcarona,Bug,Fire,Larvesta,636,Level 59,
650,Chespin,Chespin,chespin,Grass,,,,,Quilladin (Level 16)
651,Quilladin,Quilladin,quilladin,Grass,,Chespin,650,Level 16,Chesnaught (Level 36)
652,Chesnaught,Chesnaught,chesnaught,Grass,Fighting,Quilladin,651,Level 36,
653,Fennekin,Fennekin,fennekin,Fire,,,,,Braixen (Level 16)
654,Braixen,Braixen,braixen,Fire,,Fennekin,653,Level 16,Delphox (Level 36)
655,Delphox,Delphox,delphox,Fire,Psychic,Braixen,654,Level 36,
656,Froakie,Froakie,froakie,Water,,,,,Frogadier (Level 16)
657,Frogadier,Frogadier,frogadier,Water,,Froakie,656,Level 16,Greninja (Level 36)
658,Greninja,Greninja,greninja,Water,Dark,Frogadier,657,Level 36,
659,Bunnelby,Bunnelby,bunnelby,Normal,,,,,Diggersby (Level 20)
660,Diggersby,Diggersby,diggersby,Normal,Ground,Bunnelby,659,Level 20,
661,Fletchling,Fletchling,fletchling,Normal,Flying,,,,Fletchinder (Level 17)
662,Fletchinder,Fletchinder,fletchinder,Fire,Flying,Fletchling,661,Level 17,Talonflame (Level 35)
663,Talonflame,Talonflame,talonflame,Fire,Flying,Fletchinder,662,Level 35,
664,Scatterbug,Scatterbug,scatterbug,Bug,,,,,Spewpa (Level 9)
665,Spewpa,Spewpa,spewpa,Bug,,Scatterbug,664,Level 9,Vivillon (Level 12)
666,Vivillon,Vivillon,vivillon,Bug,Flying,Spewpa,665,Level 12,
667,Litleo,Litleo,litleo,Fire,Normal,,,,Pyroar (Level 35)
668,Pyroar,Pyroar,pyroar,Fire,Normal,Litleo,667,Level 35,
669,Flabébé,Flabébé,flabebe,Fairy,,,,,Floette (Level 19)
670,Floette,Floette,floette,Fairy,,Flabébé,669,Level 19,Florges (use Shiny Stone)
671,Florges,Florges,florges,Fairy,,Floette,670,use Shiny Stone,
672,Skiddo,Skiddo,skiddo,Grass,,,,,Gogoat (Level 32)
673,Gogoat,Gogoat,gogoat,Grass,,Skiddo,672,Level 32,
674,Pancham,Pancham,pancham,Fighting,,,,,"Pangoro (Level 32, Dark type Pokémon in party)"
675,Pangoro,Pangoro,pangoro,Fighting,Dark,Pancham,674,"Level 32, Dark type Pokémon in party",
677,Espurr,Espurr,espurr,Psychic,,,,,"Meowstic (Male) (Level 25, Male); Meowstic (Female) (Level 25, Female)"
678,Meowstic (Female),Meowstic,meowstic,Psychic,,Espurr,677,"Level 25, Female",
678,Meowstic (Male),Meowstic,meowstic,Psychic,,Espurr,677,"Level 25, Male",
679,Honedge,Honedge,honedge,Steel,Ghost,,,,Doublade (Level 35)
680,Doublade,Doublade,doublade,Steel,Ghost,Honedge,679,Level 35,Aegislash (Shield Forme) (use Dusk Stone)
681,Aegislash (Shield Forme),Aegislash,aegislash,Steel,Ghost,Doublade,680,use Dusk Stone,
682,Spritzee,Spritzee,spritzee,Fairy,,,,,Aromatisse (trade holding Sachet)
683,Aromatisse,Aromatisse,aromatisse,Fairy,,Spritzee,682,trade holding Sachet,
684,Swirlix,Swirlix,swirlix,Fairy,,,,,Slurpuff (trade holding Whipped Dream)
685,Slurpuff,Slurpuff,slurpuff,Fairy,,Swirlix,684,trade holding Whipped Dream,
686,Inkay,Inkay,inkay,Dark,Psychic,,,,"Malamar (Level 30, holding console upside down)"
687,Malamar,Malamar,malamar,Dark,Psychic,Inkay,686,"Level 30, holding console upside down",
688,Binacle,Binacle,binacle,Rock,Water,,,,Barbaracle (Level 39)
689,Barbaracle,Barbaracle,barbaracle,Rock,Water,Binacle,688,Level 39,
690,Skrelp,Skrelp,skrelp,Poison,Water,,,,Dragalge (Level 48)
691,Dragalge,Dragalge,dragalge,Poison,Dragon,Skrelp,690,Level 48,
692,Clauncher,Clauncher,clauncher,Water,,,,,Clawitzer (Level 37)
693,Clawitzer,Clawitzer,clawitzer,Water,,Clauncher,692,Level 37,
694,Helioptile,Helioptile,helioptile,Electric,Normal,,,,Heliolisk (use Sun Stone)
695,Heliolisk,Heliolisk,heliolisk,Electric,Normal,Helioptile,694,use Sun Stone,
696,Tyrunt,Tyrunt,tyrunt,Rock,Dragon,,,,"Tyrantrum (Level 39, Daytime)"
697,Tyrantrum,Tyrantrum,tyrantrum,Rock,Dragon,Tyrunt,696,"Level 39, Daytime",
698,Amaura,Amaura,amaura,Rock,Ice,,,,"Aurorus (Level 39, Nighttime)"
699,Aurorus,Aurorus,aurorus,Rock,Ice,Amaura,698,"Level 39, Nighttime",
704,Goomy,Goomy,goomy,Dragon,,,,,"Sliggoo (Level 40); Hisuian Sliggoo (Level 40, in Legends: Arceus)"
705,Hisuian Sliggoo,Sliggoo,sliggoo,Steel,Dragon,Goomy,704,"Level 40, in Legends: Arceus","Hisuian Goodra (Level 50, during rain, in Legends: Arceus)"
705,Sliggoo,Sliggoo,sliggoo,Dragon,,Goomy,704,Level 40,"Goodra (Level 50, during rain)"
706,Goodra,Goodra,goodra,Dragon,,Sliggoo,705,"Level 50, during rain",
706,Hisuian Goodra,Goodra,goodra,Steel,Dragon,Hisuian Sliggoo,705,"Level 50, during rain, in Legends: Arceus",
708,Phantump,Phantump,phantump,Ghost,Grass,,,,Trevenant (Trade)
709,Trevenant,Trevenant,trevenant,Ghost,Grass,Phantump,708,Trade,
710,Pumpkaboo (Average Size),Pumpkaboo,pumpkaboo,Ghost,Grass,,,,Gourgeist (Average Size) (Trade)
711,Gourgeist (Average Size),Gourgeist,gourgeist,Ghost,Grass,Pumpkaboo (Average Size),710,Trade,
712,Bergmite,Bergmite,bergmite,Ice,,,,,"Avalugg (Level 37); Hisuian Avalugg (Level 37, in Legends: Arceus)"
713,Avalugg,Avalugg,avalugg,Ice,,Bergmite,712,Level 37,
713,Hisuian Avalugg,Avalugg,avalugg,Ice,Rock,Bergmite,712,"Level 37, in Legends: Arceus",
714,Noibat,Noibat,noibat,Flying,Dragon,,,,Noivern (Level 48)
715,Noivern,Noivern,noivern,Flying,Dragon,Noibat,714,Level 48,
722,Rowlet,Rowlet,rowlet,Grass,Flying,,,,Dartrix (Level 17)
723,Dartrix,Dartrix,dartrix,Grass,Flying,Rowlet,722,Level 17,"Decidueye (Level 34); Hisuian Decidueye (Level 36, in Legends: Arceus)"
724,Decidueye,Decidueye,decidueye,Grass,Ghost,Dartrix,723,Level 34,
724,Hisuian Decidueye,Decidueye,decidueye,Grass,Fighting,Dartrix,723,"Level 36, in Legends: Arceus",
725,Litten,Litten,litten,Fire,,,,,Torracat (Level 17)
726,Torracat,Torracat,torracat,Fire,,Litten,725,Level 17,Incineroar (Level 34)
727,Incineroar,Incineroar,incineroar,Fire,Dark,Torracat,726,Level 34,
728,Popplio,Popplio,popplio,Water,,,,,Brionne (Level 17)
729,Brionne,Brionne,brionne,Water,,Popplio,728,Level 17,Primarina (Level 34)
730,Primarina,Primarina,primarina,Water,Fairy,Brionne,729,Level 34,
731,Pikipek,Pikipek,pikipek,Normal,Flying,,,,Trumbeak (Level 14)
732,Trumbeak,Trumbeak,trumbeak,Normal,Flying,Pikipek,731,Level 14,Toucannon (Level 28)
733,Toucannon,Toucannon,toucannon,Normal,Flying,Trumbeak,732,Level 28,
